Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
5101857240,NBA $0.25 Contest,189318591,$0.25,,,,,,,,,,1. Column A lists all of your contest entries for this draftgroup
5101857241,NBA $0.25 Contest,189318591,$0.25,,,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations)
5101857242,NBA $0.25 Contest,189318591,$0.25,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5101857243,NBA $0.25 Contest,189318591,$0.25,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5101857244,NBA $0.25 Contest,189318591,$0.25,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
5101857245,NBA $0.25 Contest,189318591,$0.25,,,,,,,,,,
5101857246,NBA $0.25 Contest,189318591,$0.25,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,SF,Isaiah Livers (42465192),Isaiah Livers,42465192,SF/F/UTIL,3000,PHX@ORL 03/31/2026 07:00PM ET,PHX,5.96
,,,,,,,,,,,,,SG,Koby Brea (42465246),Koby Brea,42465246,SG/G/UTIL,3000,PHX@ORL 03/31/2026 07:00PM ET,PHX,4.56
,,,,,,,,,,,,,SF,Haywood Highsmith (42465255),Haywood Highsmith,42465255,SF/F/UTIL,3000,PHX@ORL 03/31/2026 07:00PM ET,PHX,11.96
,,,,,,,,,,,,,PG,Alex Morales (42465277),Alex Morales,42465277,PG/G/UTIL,3000,PHX@ORL 03/31/2026 07:00PM ET,ORL,10.75
,,,,,,,,,,,,,C,Colin Castleton (42465280),Colin Castleton,42465280,C/UTIL,3000,PHX@ORL 03/31/2026 07:00PM ET,ORL,7.5
,,,,,,,,,,,,,C,CJ Huntley (42465282),CJ Huntley,42465282,C/UTIL,3000,PHX@ORL 03/31/2026 07:00PM ET,PHX,1.75
,,,,,,,,,,,,,SG/SF,Garrett Temple (42465225),Garrett Temple,42465225,SG/SF/F/G/UTIL,3000,TOR@DET 03/31/2026 08:00PM ET,TOR,2.18
,,,,,,,,,,,,,PF,Bobi Klintman (42465236),Bobi Klintman,42465236,PF/F/UTIL,3000,TOR@DET 03/31/2026 08:00PM ET,DET,4.98
,,,,,,,,,,,,,C,Tolu Smith (42465239),Tolu Smith,42465239,C/UTIL,3000,TOR@DET 03/31/2026 08:00PM ET,DET,10.48
,,,,,,,,,,,,,PF/C,Isaac Jones (42465251),Isaac Jones,42465251,PF/C/F/UTIL,3000,TOR@DET 03/31/2026 08:00PM ET,DET,2.79
,,,,,,,,,,,,,SF,Wendell Moore Jr. (42465268),Wendell Moore Jr.,42465268,SF/F/UTIL,3000,TOR@DET 03/31/2026 08:00PM ET,DET,5.9
,,,,,,,,,,,,,PG,Markelle Fultz (42465271),Markelle Fultz,42465271,PG/G/UTIL,3000,TOR@DET 03/31/2026 08:00PM ET,TOR,4.81
,,,,,,,,,,,,,PG,Chucky Hepburn (42465274),Chucky Hepburn,42465274,PG/G/UTIL,3000,TOR@DET 03/31/2026 08:00PM ET,TOR,2.88
,,,,,,,,,,,,,SG/SF,Josh Okogie (42465152),Josh Okogie,42465152,SG/SF/F/G/UTIL,3000,NYK@HOU 03/31/2026 08:00PM ET,HOU,11.34
,,,,,,,,,,,,,PG,Tyler Kolek (42465159),Tyler Kolek,42465159,PG/G/UTIL,3000,NYK@HOU 03/31/2026 08:00PM ET,NYK,11.50
,,,,,,,,,,,,,C,Ariel Hukporti (42465173),Ariel Hukporti,42465173,C/UTIL,3000,NYK@HOU 03/31/2026 08:00PM ET,NYK,6.86
,,,,,,,,,,,,,PF,Dorian Finney-Smith (42465202),Dorian Finney-Smith,42465202,PF/F/UTIL,3000,NYK@HOU 03/31/2026 08:00PM ET,HOU,8.94
,,,,,,,,,,,,,C,Steven Adams (42465207),Steven Adams,42465207,C/UTIL,3000,NYK@HOU 03/31/2026 08:00PM ET,HOU,21.09
,,,,,,,,,,,,,PF/C,Jeff Green (42465212),Jeff Green,42465212,PF/C/F/UTIL,3000,NYK@HOU 03/31/2026 08:00PM ET,HOU,3.82
,,,,,,,,,,,,,PG,JD Davison (42465218),JD Davison,42465218,PG/G/UTIL,3000,NYK@HOU 03/31/2026 08:00PM ET,HOU,5.77
,,,,,,,,,,,,,SF/PF,Kevin McCullar Jr. (42465221),Kevin McCullar Jr.,42465221,SF/PF/F/UTIL,3000,NYK@HOU 03/31/2026 08:00PM ET,NYK,5.4
,,,,,,,,,,,,,SF/PF,Isaiah Crawford (42465232),Isaiah Crawford,42465232,SF/PF/F/UTIL,3000,NYK@HOU 03/31/2026 08:00PM ET,HOU,3.46
,,,,,,,,,,,,,C,Trey Jemison (42465241),Trey Jemison,42465241,C/UTIL,3000,NYK@HOU 03/31/2026 08:00PM ET,NYK,3.32
,,,,,,,,,,,,,C,Dillon Jones (42465261),Dillon Jones,42465261,C/UTIL,3000,NYK@HOU 03/31/2026 08:00PM ET,NYK,4.17
,,,,,,,,,,,,,PG,Tristen Newton (42465284),Tristen Newton,42465284,PG/G/UTIL,3000,NYK@HOU 03/31/2026 08:00PM ET,HOU,0
,,,,,,,,,,,,,PG,Fred VanVleet (42465290),Fred VanVleet,42465290,PG/G/UTIL,3000,NYK@HOU 03/31/2026 08:00PM ET,HOU,0
,,,,,,,,,,,,,SF/PF,Caleb Martin (42465162),Caleb Martin,42465162,SF/PF/F/UTIL,3000,DAL@MIL 03/31/2026 08:00PM ET,DAL,10.82
,,,,,,,,,,,,,SG/SF,Gary Harris (42465179),Gary Harris,42465179,SG/SF/F/G/UTIL,3000,DAL@MIL 03/31/2026 08:00PM ET,MIL,7.18
,,,,,,,,,,,,,C,Moussa Cisse (42465205),Moussa Cisse,42465205,C/UTIL,3000,DAL@MIL 03/31/2026 08:00PM ET,DAL,12.75
,,,,,,,,,,,,,C,Dereck Lively II (42465249),Dereck Lively II,42465249,C/UTIL,3000,DAL@MIL 03/31/2026 08:00PM ET,DAL,17.25
,,,,,,,,,,,,,SG/SF,John Poulakidas (42465263),John Poulakidas,42465263,SG/SF/F/G/UTIL,3000,DAL@MIL 03/31/2026 08:00PM ET,DAL,10.75
,,,,,,,,,,,,,PF,Alex Antetokounmpo (42465287),Alex Antetokounmpo,42465287,PF/F/UTIL,3000,DAL@MIL 03/31/2026 08:00PM ET,MIL,0
,,,,,,,,,,,,,PG,Kyrie Irving (42465293),Kyrie Irving,42465293,PG/G/UTIL,3000,DAL@MIL 03/31/2026 08:00PM ET,DAL,0
